% Model,AuNP-5-78nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:06"
% Dimension,3
% Nodes,32374
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-2.8124140826802938E-14,-274.10999999999996,-274.10999999999996,5.142922741736066E-9
-2.1506695926378716E-14,-274.10999999999996,-265.82874999999996,1.5943127765793918E-8
-2.067951531382569E-14,-265.82874999999996,-265.82874999999996,2.4157620453330136E-8
-2.6469779601696882E-14,-265.82874999999996,-274.10999999999996,1.8511811080875185E-8
-1.985233470127266E-14,-257.54749999999996,-265.82874999999996,3.7890562756047994E-8
-2.4815418376590827E-14,-257.54749999999996,-274.10999999999996,3.3755669819441225E-8
-1.4889251025954495E-14,-274.10999999999996,-257.54749999999996,2.708117063405765E-8
-1.4889251025954495E-14,-265.82874999999996,-257.54749999999996,3.3263370785303744E-8
-1.4889251025954495E-14,-257.54749999999996,-257.54749999999996,4.626191037494868E-8
0,-274.10999999999996,-249.26625000000004,3.655387347030116E-8
-8.271806125530276E-16,-265.82874999999996,-249.26625000000004,4.316799795626254E-8
-1.6543612251060552E-15,-257.54749999999996,-249.26625000000004,5.852981982073444E-8
1.4889251025954495E-14,-274.10999999999996,-240.9850000000001,4.394420835316504E-8
1.3234889800848441E-14,-265.82874999999996,-240.9850000000001,5.2608963896779685E-8
1.1580528575742386E-14,-257.54749999999996,-240.9850000000001,7.316345973791453E-8
-2.2333876538931744E-14,-249.26625000000004,-265.82874999999996,5.411472023458254E-8
-2.977850205190899E-14,-249.26625000000004,-274.10999999999996,4.9154788075403407E-8
-2.4815418376590827E-14,-240.98500000000004,-265.82874999999996,7.188856959136226E-8
-3.4741585727227156E-14,-240.98500000000004,-274.10999999999996,6.510181452215781E-8
-1.4889251025954495E-14,-249.26625000000004,-257.54749999999996,6.516089563355031E-8
-1.4889251025954495E-14,-240.98500000000004,-257.54749999999996,8.745693258769341E-8
1.4889251025954495E-14,-274.10999999999996,-232.70375000000004,4.9221027590285045E-8
